,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
538,The place of birth of Deva is,The place of birth of the composer of Naayudamma is,Deva,the composer of Naayudamma,"['Naayudamma', 'composer', 'Deva']","['Deva', 'place of birth', 'Tamil']",Tamil
539,The place of birth of 2 Chainz is,The place of birth of the performer of Netflix is,2 Chainz,the performer of Netflix,"['Netflix', 'performer', '2 Chainz']","['2 Chainz', 'place of birth', 'College Park, Georgia']","College Park, Georgia"
540,The country of citizenship of Wang Quan'an is,The country of citizenship of the director of Öndög is,Wang Quan'an,the director of Öndög,"['Öndög', 'director', ""Wang Quan'an""]","[""Wang Quan'an"", 'country of citizenship', 'Chinese']",Chinese
541,"The date of death of Frederick William, Prince of Solms-Braunfels is","The date of death of the father of Ferdinand Wilhelm Ernst, 2nd Prince of Solms-Braunfels is","Frederick William, Prince of Solms-Braunfels","the father of Ferdinand Wilhelm Ernst, 2nd Prince of Solms-Braunfels","['Ferdinand Wilhelm Ernst, 2nd Prince of Solms-Braunfels', 'father', 'Frederick William, Prince of Solms-Braunfels']","['Frederick William, Prince of Solms-Braunfels', 'date of death', '24 February 1761']",24 February 1761
542,The date of death of Grand Duchess Maria Alexandrovna of Russia is,The date of death of the mother of Princess Alexandra of Saxe-Coburg and Gotha is,Grand Duchess Maria Alexandrovna of Russia,the mother of Princess Alexandra of Saxe-Coburg and Gotha,"['Princess Alexandra of Saxe-Coburg and Gotha', 'mother', 'Grand Duchess Maria Alexandrovna of Russia']","['Grand Duchess Maria Alexandrovna of Russia', 'date of death', '24 October 1920']",24 October 1920
543,Enrique Cahen Salaberry received the,The director of Yo también tengo fiaca received the,Enrique Cahen Salaberry,the director of Yo también tengo fiaca,"['Yo también tengo fiaca', 'director', 'Enrique Cahen Salaberry']","['Enrique Cahen Salaberry', 'award received', 'ACE Award']",ACE Award
544,The country of citizenship of Mike Ashley is,The country of citizenship of the founded by of St James Holdings is,Mike Ashley,the founded by of St James Holdings,"['St James Holdings', 'founded by', 'Mike Ashley']","['Mike Ashley', 'country of citizenship', 'British']",British
545,The place of birth of Walter Hugo Khouri is,"The place of birth of the director of Eros, o Deus do Amor is",Walter Hugo Khouri,"the director of Eros, o Deus do Amor","['Eros, o Deus do Amor', 'director', 'Walter Hugo Khouri']","['Walter Hugo Khouri', 'place of birth', 'São Paulo']",São Paulo
546,The place of burial of Hibbert Newton Binney is,The place of burial of the father of Stephen Binney is,Hibbert Newton Binney,the father of Stephen Binney,"['Stephen Binney', 'father', 'Hibbert Newton Binney']","['Hibbert Newton Binney', 'place of burial', 'Old Burying Ground']",Old Burying Ground
547,The country of citizenship of Jules White is,The country of citizenship of the director of The Taming of the Snood is,Jules White,the director of The Taming of the Snood,"['The Taming of the Snood', 'director', 'Jules White']","['Jules White', 'country of citizenship', 'American']",American
548,The place of birth of Jacques Necker is,The place of birth of the spouse of Suzanne Curchod is,Jacques Necker,the spouse of Suzanne Curchod,"['Suzanne Curchod', 'spouse', 'Jacques Necker']","['Jacques Necker', 'place of birth', 'Genevan']",Genevan
549,The place of birth of Lionel Penrose is,The place of birth of the father of Oliver Penrose is,Lionel Penrose,the father of Oliver Penrose,"['Oliver Penrose', 'father', 'Lionel Penrose']","['Lionel Penrose', 'place of birth', 'London']",London
550,The country of citizenship of Maurice of Nassau is,The country of citizenship of the spouse of Margaretha van Mechelen is,Maurice of Nassau,the spouse of Margaretha van Mechelen,"['Margaretha van Mechelen', 'spouse', 'Maurice of Nassau']","['Maurice of Nassau', 'country of citizenship', 'Dutch Republic']",Dutch Republic
551,The place of death of Reginald I of Guelders is,The place of death of the spouse of Ermengarde of Limburg is,Reginald I of Guelders,the spouse of Ermengarde of Limburg,"['Ermengarde of Limburg', 'spouse', 'Reginald I of Guelders']","['Reginald I of Guelders', 'place of death', 'Montfort']",Montfort
552,The place of birth of Yvon Ledanois is,The place of birth of the father of Kévin Ledanois is,Yvon Ledanois,the father of Kévin Ledanois,"['Kévin Ledanois', 'father', 'Yvon Ledanois']","['Yvon Ledanois', 'place of birth', 'Montreuil']",Montreuil
553,The place of birth of Matthew Kaufman is,The place of birth of the director of American Swing is,Matthew Kaufman,the director of American Swing,"['American Swing', 'director', 'Matthew Kaufman']","['Matthew Kaufman', 'place of birth', 'London']",London
554,The place of death of Félix Houphouët-Boigny is,The place of death of the spouse of Marie-Thérèse Houphouët-Boigny is,Félix Houphouët-Boigny,the spouse of Marie-Thérèse Houphouët-Boigny,"['Marie-Thérèse Houphouët-Boigny', 'spouse', 'Félix Houphouët-Boigny']","['Félix Houphouët-Boigny', 'place of death', 'Yamoussoukro']",Yamoussoukro
555,The date of death of María Mercader is,The date of death of the mother of Manuel De Sica is,María Mercader,the mother of Manuel De Sica,"['Manuel De Sica', 'mother', 'María Mercader']","['María Mercader', 'date of death', '26 January 2011']",26 January 2011
556,The place of death of Yolanda of Flanders is,"The place of death of the mother of Margaret, Marchioness of Namur is",Yolanda of Flanders,"the mother of Margaret, Marchioness of Namur","['Margaret, Marchioness of Namur', 'mother', 'Yolanda of Flanders']","['Yolanda of Flanders', 'place of death', 'Constantinople']",Constantinople
557,The place of death of Walter Hugo Khouri is,The place of death of the director of The Palace of Angels is,Walter Hugo Khouri,the director of The Palace of Angels,"['The Palace of Angels', 'director', 'Walter Hugo Khouri']","['Walter Hugo Khouri', 'place of death', 'São Paulo']",São Paulo
558,Ratnakar Matkari was educated at,The director of Investment was educated at,Ratnakar Matkari,the director of Investment,"['Investment', 'director', 'Ratnakar Matkari']","['Ratnakar Matkari', 'educated at', 'Mumbai University']",Mumbai University
559,The country of citizenship of Mariah Carey is,The country of citizenship of the performer of Right to Dream is,Mariah Carey,the performer of Right to Dream,"['Right to Dream', 'performer', 'Mariah Carey']","['Mariah Carey', 'country of citizenship', 'America']",America
560,The country of citizenship of Habib Azar is,The country of citizenship of the director of Armless is,Habib Azar,the director of Armless,"['Armless', 'director', 'Habib Azar']","['Habib Azar', 'country of citizenship', 'United States']",United States
561,The employer of Sheldon Adelson is,The employer of the spouse of Miriam Adelson is,Sheldon Adelson,the spouse of Miriam Adelson,"['Miriam Adelson', 'spouse', 'Sheldon Adelson']","['Sheldon Adelson', 'employer', 'Las Vegas Sands']",Las Vegas Sands
562,The place of birth of Alexandre Ryder is,The place of birth of the director of The Criminal is,Alexandre Ryder,the director of The Criminal,"['The Criminal', 'director', 'Alexandre Ryder']","['Alexandre Ryder', 'place of birth', 'Polish']",Polish
563,The place of birth of Peter Paul Brauer is,The place of birth of the director of The Swedish Nightingale is,Peter Paul Brauer,the director of The Swedish Nightingale,"['The Swedish Nightingale', 'director', 'Peter Paul Brauer']","['Peter Paul Brauer', 'place of birth', 'Elberfeld']",Elberfeld
564,The spouse of Pirjo Honkasalo is,The spouse of the director of Ito – a Diary of an Urban Priest is,Pirjo Honkasalo,the director of Ito – a Diary of an Urban Priest,"['Ito – a Diary of an Urban Priest', 'director', 'Pirjo Honkasalo']","['Pirjo Honkasalo', 'spouse', 'Pirkko Saisio']",Pirkko Saisio
565,The place of birth of Samuel Greig is,The place of birth of the father of Aleksey Greig is,Samuel Greig,the father of Aleksey Greig,"['Aleksey Greig', 'father', 'Samuel Greig']","['Samuel Greig', 'place of birth', 'Inverkeithing']",Inverkeithing
566,The country of citizenship of Aarif Sheikh is,The country of citizenship of the director of Let's Dance is,Aarif Sheikh,the director of Let's Dance,"[""Let's Dance"", 'director', 'Aarif Sheikh']","['Aarif Sheikh', 'country of citizenship', 'Nepal']",Nepal
567,"The date of death of Albert I, Duke of Brunswick-Lüneburg is","The date of death of the father of William I, Duke of Brunswick-Lüneburg is","Albert I, Duke of Brunswick-Lüneburg","the father of William I, Duke of Brunswick-Lüneburg","['William I, Duke of Brunswick-Lüneburg', 'father', 'Albert I, Duke of Brunswick-Lüneburg']","['Albert I, Duke of Brunswick-Lüneburg', 'date of death', '15 August 1279']",15 August 1279
568,The date of death of Muhammad bin Musafir is,The date of death of the father of Marzuban ibn Muhammad is,Muhammad bin Musafir,the father of Marzuban ibn Muhammad,"['Marzuban ibn Muhammad', 'father', 'Muhammad bin Musafir']","['Muhammad bin Musafir', 'date of death', '953']",953
569,The spouse of Charles Winkler is,The spouse of the director of The Net 2.0 is,Charles Winkler,the director of The Net 2.0,"['The Net 2.0', 'director', 'Charles Winkler']","['Charles Winkler', 'spouse', 'Sandra Nelson']",Sandra Nelson
570,The place of birth of Fridrikh Ermler is,The place of birth of the director of The Great Citizen is,Fridrikh Ermler,the director of The Great Citizen,"['The Great Citizen', 'director', 'Fridrikh Ermler']","['Fridrikh Ermler', 'place of birth', 'Rēzekne']",Rēzekne
571,"The country of citizenship of Henry de Percy, 1st Baron Percy is",The country of citizenship of the spouse of Eleanor FitzAlan is,"Henry de Percy, 1st Baron Percy",the spouse of Eleanor FitzAlan,"['Eleanor FitzAlan', 'spouse', 'Henry de Percy, 1st Baron Percy']","['Henry de Percy, 1st Baron Percy', 'country of citizenship', 'English']",English
572,"The place of birth of Michael de la Pole, 2nd Earl of Suffolk is",The place of birth of the spouse of Katherine de Stafford is,"Michael de la Pole, 2nd Earl of Suffolk",the spouse of Katherine de Stafford,"['Katherine de Stafford', 'spouse', 'Michael de la Pole, 2nd Earl of Suffolk']","['Michael de la Pole, 2nd Earl of Suffolk', 'place of birth', 'English']",English
573,The country of citizenship of Samuel of Bulgaria is,The country of citizenship of the spouse of  Agatha is,Samuel of Bulgaria,the spouse of  Agatha,"[' Agatha', 'spouse', 'Samuel of Bulgaria']","['Samuel of Bulgaria', 'country of citizenship', 'First Bulgarian Empire']",First Bulgarian Empire
574,The place of birth of Prince Henry of the Netherlands is,The place of birth of the spouse of Princess Amalia of Saxe-Weimar-Eisenach is,Prince Henry of the Netherlands,the spouse of Princess Amalia of Saxe-Weimar-Eisenach,"['Princess Amalia of Saxe-Weimar-Eisenach', 'spouse', 'Prince Henry of the Netherlands']","['Prince Henry of the Netherlands', 'place of birth', 'Soestdijk Palace']",Soestdijk Palace
575,The country of citizenship of Ian Balding is,The country of citizenship of the father of Andrew Balding is,Ian Balding,the father of Andrew Balding,"['Andrew Balding', 'father', 'Ian Balding']","['Ian Balding', 'country of citizenship', 'US']",US
576,The cause of death of James Whale is,The cause of death of the director of Port of Seven Seas is,James Whale,the director of Port of Seven Seas,"['Port of Seven Seas', 'director', 'James Whale']","['James Whale', 'cause of death', 'drowning']",drowning
577,The father of Miley Cyrus is,The father of the composer of I Miss You is,Miley Cyrus,the composer of I Miss You,"['I Miss You', 'composer', 'Miley Cyrus']","['Miley Cyrus', 'father', 'Billy Ray Cyrus']",Billy Ray Cyrus
578,Andrew Disney was educated at,The director of Balls Out was educated at,Andrew Disney,the director of Balls Out,"['Balls Out', 'director', 'Andrew Disney']","['Andrew Disney', 'educated at', 'Tisch']",Tisch
579,The place of birth of Daniel Barber is,The place of birth of the director of The Keeping Room is,Daniel Barber,the director of The Keeping Room,"['The Keeping Room', 'director', 'Daniel Barber']","['Daniel Barber', 'place of birth', 'British']",British
580,The place of birth of Kany García is,The place of birth of the performer of Yo No Tengo Nah is,Kany García,the performer of Yo No Tengo Nah,"['Yo No Tengo Nah', 'performer', 'Kany García']","['Kany García', 'place of birth', 'Toa Baja, Puerto Rico']","Toa Baja, Puerto Rico"
581,The country of citizenship of Heo Hwang-ok is,The country of citizenship of the mother of Geodeung of Gaya is,Heo Hwang-ok,the mother of Geodeung of Gaya,"['Geodeung of Gaya', 'mother', 'Heo Hwang-ok']","['Heo Hwang-ok', 'country of citizenship', 'India']",India
582,The cause of death of Tim Buckley is,The cause of death of the performer of Song to the Siren is,Tim Buckley,the performer of Song to the Siren,"['Song to the Siren', 'performer', 'Tim Buckley']","['Tim Buckley', 'cause of death', 'overdose']",overdose
583,The spouse of Bjarne Henning-Jensen is,The spouse of the director of Where Mountains Float is,Bjarne Henning-Jensen,the director of Where Mountains Float,"['Where Mountains Float', 'director', 'Bjarne Henning-Jensen']","['Bjarne Henning-Jensen', 'spouse', 'Astrid Henning-Jensen']",Astrid Henning-Jensen
584,The place of birth of Hardi Volmer is,The place of birth of the director of All My Lenins is,Hardi Volmer,the director of All My Lenins,"['All My Lenins', 'director', 'Hardi Volmer']","['Hardi Volmer', 'place of birth', 'Pärnu']",Pärnu
585,The place of burial of Curtis Bernhardt is,The place of burial of the director of Juke Girl is,Curtis Bernhardt,the director of Juke Girl,"['Juke Girl', 'director', 'Curtis Bernhardt']","['Curtis Bernhardt', 'place of burial', 'Forest Lawn Memorial Park']",Forest Lawn Memorial Park
586,Gina Rinehart was educated at,The mother of John Hancock was educated at,Gina Rinehart,the mother of John Hancock,"['John Hancock', 'mother', 'Gina Rinehart']","['Gina Rinehart', 'educated at', ""St Hilda's Anglican School for Girls""]",St Hilda's Anglican School for Girls
587,The place of death of George Gershwin is,The place of death of the composer of Nice Work If You Can Get It is,George Gershwin,the composer of Nice Work If You Can Get It,"['Nice Work If You Can Get It', 'composer', 'George Gershwin']","['George Gershwin', 'place of death', 'Hollywood']",Hollywood
588,The place of death of Charles III William is,"The place of death of the father of Frederick, Hereditary Prince of Baden-Durlach is",Charles III William,"the father of Frederick, Hereditary Prince of Baden-Durlach","['Frederick, Hereditary Prince of Baden-Durlach', 'father', 'Charles III William']","['Charles III William', 'place of death', 'Karlsruhe']",Karlsruhe
589,The place of death of Maya Angelou is,The place of death of the director of Down in the Delta is,Maya Angelou,the director of Down in the Delta,"['Down in the Delta', 'director', 'Maya Angelou']","['Maya Angelou', 'place of death', 'Winston-Salem, North Carolina']","Winston-Salem, North Carolina"
590,The country of citizenship of Lynn Hershman is,The country of citizenship of the director of Desire Inc. is,Lynn Hershman,the director of Desire Inc.,"['Desire Inc.', 'director', 'Lynn Hershman']","['Lynn Hershman', 'country of citizenship', 'US']",US
591,Meghan Trainor received the,The performer of Watch Me Do received the,Meghan Trainor,the performer of Watch Me Do,"['Watch Me Do', 'performer', 'Meghan Trainor']","['Meghan Trainor', 'award received', 'Grammy Award']",Grammy Award
592,The place of death of Helmut Käutner is,The place of death of the director of The Captain from Köpenick is,Helmut Käutner,the director of The Captain from Köpenick,"['The Captain from Köpenick', 'director', 'Helmut Käutner']","['Helmut Käutner', 'place of death', 'Castellina in Chianti']",Castellina in Chianti
593,The place of death of Buddy Holly is,The place of death of the performer of Words of Love is,Buddy Holly,the performer of Words of Love,"['Words of Love', 'performer', 'Buddy Holly']","['Buddy Holly', 'place of death', 'Clear Lake, Iowa']","Clear Lake, Iowa"
594,The date of death of Maria dalle Carceri is,The date of death of the mother of Guglielma Pallavicini is,Maria dalle Carceri,the mother of Guglielma Pallavicini,"['Guglielma Pallavicini', 'mother', 'Maria dalle Carceri']","['Maria dalle Carceri', 'date of death', '1323']",1323
595,John Henry Wright was educated at,The spouse of Mary Tappan Wright was educated at,John Henry Wright,the spouse of Mary Tappan Wright,"['Mary Tappan Wright', 'spouse', 'John Henry Wright']","['John Henry Wright', 'educated at', 'Dartmouth']",Dartmouth
596,The place of birth of Helmut Käutner is,The place of birth of the director of Redhead is,Helmut Käutner,the director of Redhead,"['Redhead', 'director', 'Helmut Käutner']","['Helmut Käutner', 'place of birth', 'Düsseldorf']",Düsseldorf
597,The place of birth of Anil Das is,The place of birth of the director of Alice: A True Story is,Anil Das,the director of Alice: A True Story,"['Alice: A True Story', 'director', 'Anil Das']","['Anil Das', 'place of birth', 'Kottayam']",Kottayam
598,The place of birth of Prince Adalbert of Bavaria is,The place of birth of the father of Princess Isabella of Bavaria is,Prince Adalbert of Bavaria,the father of Princess Isabella of Bavaria,"['Princess Isabella of Bavaria', 'father', 'Prince Adalbert of Bavaria']","['Prince Adalbert of Bavaria', 'place of birth', 'Munich']",Munich
599,The mother of Ben Stiller is,The mother of the director of Zoolander 2 is,Ben Stiller,the director of Zoolander 2,"['Zoolander 2', 'director', 'Ben Stiller']","['Ben Stiller', 'mother', 'Meara Stiller']",Meara Stiller
600,The country of citizenship of William Randolph is,The country of citizenship of the father of Edward Randolph is,William Randolph,the father of Edward Randolph,"['Edward Randolph', 'father', 'William Randolph']","['William Randolph', 'country of citizenship', 'American']",American
601,"The date of death of Maximilian Karl, 6th Prince of Thurn and Taxis is",The date of death of the father of Prince Gustav of Thurn and Taxis (1848–1914) is,"Maximilian Karl, 6th Prince of Thurn and Taxis",the father of Prince Gustav of Thurn and Taxis (1848–1914),"['Prince Gustav of Thurn and Taxis (1848–1914)', 'father', 'Maximilian Karl, 6th Prince of Thurn and Taxis']","['Maximilian Karl, 6th Prince of Thurn and Taxis', 'date of death', '10 November 1871']",10 November 1871
602,The place of birth of Jean-Pierre Chouteau is,The place of birth of the father of Auguste Pierre Chouteau is,Jean-Pierre Chouteau,the father of Auguste Pierre Chouteau,"['Auguste Pierre Chouteau', 'father', 'Jean Pierre Chouteau']","['Jean-Pierre Chouteau', 'place of birth', 'New Orleans']",New Orleans
603,The country of citizenship of Maurice Chevalier is,The country of citizenship of the performer of Mimi is,Maurice Chevalier,the performer of Mimi,"['Mimi', 'performer', 'Maurice Chevalier']","['Maurice Chevalier', 'country of citizenship', 'French']",French
604,The Tokuma Shoten was founded by,The the publisher of Weekly Asahi Geinō was founded by,Tokuma Shoten,the publisher of Weekly Asahi Geinō,"['Weekly Asahi Geinō', 'publisher', 'Tokuma Shoten']","['Tokuma Shoten', 'founded by', 'Yasuyoshi Tokuma']",Yasuyoshi Tokuma
605,The place of birth of Henry Edwards is,The place of birth of the director of Aylwin is,Henry Edwards,the director of Aylwin,"['Aylwin', 'director', 'Henry Edwards']","['Henry Edwards', 'place of birth', 'Weston-super-Mare, Somerset']","Weston-super-Mare, Somerset"
606,The place of death of Aleksander Ford is,The place of death of the director of Youth of Chopin is,Aleksander Ford,the director of Youth of Chopin,"['Youth of Chopin', 'director', 'Aleksander Ford']","['Aleksander Ford', 'place of death', 'Florida']",Florida
607,The place of birth of Gustav von Rauch is,The place of birth of the father of Rosalie von Rauch is,Gustav von Rauch,the father of Rosalie von Rauch,"['Rosalie von Rauch', 'father', 'Gustav von Rauch']","['Gustav von Rauch', 'place of birth', 'Braunschweig']",Braunschweig
608,The place of birth of Maurice Boutel is,The place of birth of the director of Prostitution is,Maurice Boutel,the director of Prostitution,"['Prostitution', 'director', 'Maurice Boutel']","['Maurice Boutel', 'place of birth', 'Algeria']",Algeria
609,The place of death of Sam Cooke is,The place of death of the performer of I'll Come Running Back to You is,Sam Cooke,the performer of I'll Come Running Back to You,"[""I'll Come Running Back to You"", 'performer', 'Sam Cooke']","['Sam Cooke', 'place of death', 'Los Angeles, California']","Los Angeles, California"
610,The place of birth of Przemysł II is,The place of birth of the father of Elizabeth Richeza of Poland is,Przemysł II,the father of Elizabeth Richeza of Poland,"['Elizabeth Richeza of Poland', 'father', 'Przemysł II']","['Przemysł II', 'place of birth', 'Poznań']",Poznań
611,The country of citizenship of Alex Lithgow is,The country of citizenship of the composer of Invercargill March is,Alex Lithgow,the composer of Invercargill March,"['Invercargill March', 'composer', 'Alex Lithgow']","['Alex Lithgow', 'country of citizenship', 'Australian']",Australian
612,The date of death of Prince Moulay Abdallah of Morocco is,The date of death of the father of Prince Moulay Hicham of Morocco is,Prince Moulay Abdallah of Morocco,the father of Prince Moulay Hicham of Morocco,"['Prince Moulay Hicham of Morocco', 'father', 'Prince Moulay Abdallah of Morocco']","['Prince Moulay Abdallah of Morocco', 'date of death', '20 December 1983']",20 December 1983
613,The place of death of Abraham O. Smoot is,The place of death of the father of Brigham Roland Smoot is,Abraham O. Smoot,the father of Brigham Roland Smoot,"['Brigham Roland Smoot', 'father', 'Abraham O. Smoot']","['Abraham O. Smoot', 'place of death', 'Provo']",Provo
614,The place of birth of Chuck Berry is,The place of birth of the performer of Thirty Days is,Chuck Berry,the performer of Thirty Days,"['Thirty Days', 'performer', 'Chuck Berry']","['Chuck Berry', 'place of birth', 'St. Louis, Missouri']","St. Louis, Missouri"
615,The country of citizenship of Michael Rubbo is,The country of citizenship of the director of Tommy Tricker and the Stamp Traveller is,Michael Rubbo,the director of Tommy Tricker and the Stamp Traveller,"['Tommy Tricker and the Stamp Traveller', 'director', 'Michael Rubbo']","['Michael Rubbo', 'country of citizenship', 'Australia']",Australia
616,The date of birth of J. M. Bruce Lockhart is,The date of birth of the father of James Robert Bruce Lockhart is,J. M. Bruce Lockhart,the father of James Robert Bruce Lockhart,"['James Robert Bruce Lockhart', 'father', 'J. M. Bruce Lockhart']","['J. M. Bruce Lockhart', 'date of birth', '9 May 1914']",9 May 1914
617,The place of birth of Riccardo Freda is,The place of birth of the director of See Naples and Die is,Riccardo Freda,the director of See Naples and Die,"['See Naples and Die', 'director', 'Riccardo Freda']","['Riccardo Freda', 'place of birth', 'Alexandria']",Alexandria
618,The country of citizenship of Chris Alexander is,The country of citizenship of the director of Queen of Blood is,Chris Alexander,the director of Queen of Blood,"['Queen of Blood', 'director', 'Chris Alexander']","['Chris Alexander', 'country of citizenship', 'Canadian']",Canadian
619,The country of citizenship of Tinie Tempah is,The country of citizenship of the performer of Lover Not a Fighter is,Tinie Tempah,the performer of Lover Not a Fighter,"['Lover Not a Fighter', 'performer', 'Tinie Tempah']","['Tinie Tempah', 'country of citizenship', 'British']",British
620,The place of birth of Nathalie Delon is,The place of birth of the director of Sweet Lies is,Nathalie Delon,the director of Sweet Lies,"['Sweet Lies', 'director', 'Nathalie Delon']","['Nathalie Delon', 'place of birth', 'Oujda']",Oujda
621,The date of death of Juan de Dios Filiberto is,The date of death of the composer of Caminito de Gloria is,Juan de Dios Filiberto,the composer of Caminito de Gloria,"['Caminito de Gloria', 'composer', 'Juan de Dios Filiberto']","['Juan de Dios Filiberto', 'date of death', '11 November 1964']",11 November 1964
622,The place of death of Goethe is,The place of death of the spouse of Johanna Christiana Sophie Vulpius is,Goethe,the spouse of Johanna Christiana Sophie Vulpius,"['Johanna Christiana Sophie Vulpius', 'spouse', 'Goethe']","['Goethe', 'place of death', 'Weimar']",Weimar
623,The place of death of Alf Landon is,The place of death of the father of Nancy Landon Kassebaum is,Alf Landon,the father of Nancy Landon Kassebaum,"['Nancy Landon Kassebaum', 'father', 'Alf Landon']","['Alf Landon', 'place of death', 'Topeka']",Topeka
624,The place of death of Herbert Maisch is,The place of death of the director of Men Without a Fatherland is,Herbert Maisch,the director of Men Without a Fatherland,"['Men Without a Fatherland', 'director', 'Herbert Maisch']","['Herbert Maisch', 'place of death', 'Köln']",Köln
625,The place of birth of James D. Stern is,The place of birth of the director of It's the Rage is,James D. Stern,the director of It's the Rage,"[""It's the Rage"", 'director', 'James D. Stern']","['James D. Stern', 'place of birth', 'American']",American
626,The country of citizenship of Priyadarshan is,The country of citizenship of the director of Gopura Vasalile is,Priyadarshan,the director of Gopura Vasalile,"['Gopura Vasalile', 'director', 'Priyadarshan']","['Priyadarshan', 'country of citizenship', 'India']",India
627,Kearen Pang was educated at,The director of 29+1 was educated at,Kearen Pang,the director of 29+1,"['29+1', 'director', 'Kearen Pang']","['Kearen Pang', 'educated at', 'Hong Kong Academy for Performing Arts']",Hong Kong Academy for Performing Arts
628,"The place of birth of Theophilus Howard, 2nd Earl of Suffolk is","The place of birth of the father of George Howard, 4th Earl of Suffolk is","Theophilus Howard, 2nd Earl of Suffolk","the father of George Howard, 4th Earl of Suffolk","['George Howard, 4th Earl of Suffolk', 'father', 'Theophilus Howard, 2nd Earl of Suffolk']","['Theophilus Howard, 2nd Earl of Suffolk', 'place of birth', 'Saffron Walden']",Saffron Walden
629,Halestorm received the,The performer of Mz. Hyde received the,Halestorm,the performer of Mz. Hyde,"['Mz. Hyde', 'performer', 'Halestorm']","['Halestorm', 'award received', 'Grammy Award for Best Hard Rock/Metal Performance']",Grammy Award for Best Hard Rock/Metal Performance
630,The place of death of William Adam is,The place of death of the father of James Adam is,William Adam,the father of James Adam,"['James Adam', 'father', 'William Adam']","['William Adam', 'place of death', 'Edinburgh']",Edinburgh
631,The place of birth of Fernando Di Leo is,The place of birth of the director of Being Twenty is,Fernando Di Leo,the director of Being Twenty,"['Being Twenty', 'director', 'Fernando Di Leo']","['Fernando Di Leo', 'place of birth', 'San Ferdinando di Puglia']",San Ferdinando di Puglia
632,Hannes Stöhr was educated at,The director of One Day in Europe was educated at,Hannes Stöhr,the director of One Day in Europe,"['One Day in Europe', 'director', 'Hannes Stöhr']","['Hannes Stöhr', 'educated at', 'Deutsche Film- und Fernsehakademie Berlin']",Deutsche Film- und Fernsehakademie Berlin
633,The place of birth of Ernst Winar is,The place of birth of the director of The Harbour Baron is,Ernst Winar,the director of The Harbour Baron,"['The Harbour Baron', 'director', 'Ernst Winar']","['Ernst Winar', 'place of birth', 'Dutch']",Dutch
634,The place of birth of Manuel Antín is,The place of birth of the director of Intimidad de los parques is,Manuel Antín,the director of Intimidad de los parques,"['Intimidad de los parques', 'director', 'Manuel Antín']","['Manuel Antín', 'place of birth', 'Las Palmas, Chaco']","Las Palmas, Chaco"
635,The place of birth of Djeli Moussa Diawara is,The place of birth of the has part of Kora Jazz Trio is,Djeli Moussa Diawara,the has part of Kora Jazz Trio,"['Kora Jazz Trio', 'has part', 'Djeli Moussa Diawara']","['Djeli Moussa Diawara', 'place of birth', 'Kankan']",Kankan
636,The date of death of Ömer Lütfi Akad is,The date of death of the director of Law of the Border is,Ömer Lütfi Akad,the director of Law of the Border,"['Law of the Border', 'director', 'Ömer Lütfi Akad']","['Ömer Lütfi Akad', 'date of death', '19 November 2011']",19 November 2011
637,The place of death of Ingmar Bergman is,The place of death of the director of Summer Interlude is,Ingmar Bergman,the director of Summer Interlude,"['Summer Interlude', 'director', 'Ingmar Bergman']","['Ingmar Bergman', 'place of death', 'Fårö']",Fårö
638,Chris Brown received the,"The performer of ""Fine by Me received the",Chris Brown,"the performer of ""Fine by Me","['""Fine by Me', 'performer', 'Chris Brown']","['Chris Brown', 'award received', 'Grammy Award for Best R&B Album']",Grammy Award for Best R&B Album
639,The cause of death of Woody Guthrie is,The cause of death of the performer of Mermaid's Avenue is,Woody Guthrie,the performer of Mermaid's Avenue,"[""Mermaid's Avenue"", 'performer', 'Woody Guthrie']","['Woody Guthrie', 'cause of death', ""Huntington's disease""]",Huntington's disease
640,The place of death of Wojciech Jerzy Has is,The place of death of the director of Write and Fight is,Wojciech Jerzy Has,the director of Write and Fight,"['Write and Fight', 'director', 'Wojciech Jerzy Has']","['Wojciech Jerzy Has', 'place of death', 'Łódź']",Łódź
641,The country of citizenship of Veena Sud is,The country of citizenship of the director of The Lie is,Veena Sud,the director of The Lie,"['The Lie', 'director', 'Veena Sud']","['Veena Sud', 'country of citizenship', 'American']",American
642,The place of burial of Edgar Rice Burroughs is,"The place of burial of the father of John Coleman ""Jack"" Burroughs is",Edgar Rice Burroughs,"the father of John Coleman ""Jack"" Burroughs","['John Coleman ""Jack"" Burroughs', 'father', 'Edgar Rice Burroughs']","['Edgar Rice Burroughs', 'place of burial', 'Tarzana']",Tarzana
643,The place of death of William Axt is,The place of death of the composer of Camille is,William Axt,the composer of Camille,"['Camille', 'composer', 'William Axt']","['William Axt', 'place of death', 'Ukiah']",Ukiah
644,Tony Ianzelo was educated at,The director of Don't Knock the Ox was educated at,Tony Ianzelo,the director of Don't Knock the Ox,"[""Don't Knock the Ox"", 'director', 'Tony Ianzelo']","['Tony Ianzelo', 'educated at', 'Ryerson University']",Ryerson University
645,The spouse of John Farrow is,The spouse of the director of Hondo is,John Farrow,the director of Hondo,"['Hondo', 'director', 'John Farrow']","['John Farrow', 'spouse', ""Maureen O'Sullivan""]",Maureen O'Sullivan
